iter	Passed	Remaining
1030	43841	41205
1031	43855	41135
1032	43867	41065
1033	43917	41029
1034	43961	40987
1035	44010	40952
1036	44052	40909
1037	44097	40868
1038	44144	40830
1039	44186	40787
1040	44235	40750
1041	44277	40708
1042	44327	40672
1043	44370	40630
1044	44413	40588
1045	44454	40544
1046	44497	40502
1047	44541	40461
1048	44581	40416
1049	44625	40375
1050	44667	40332
1051	44712	40292
1052	44756	40250
1053	44800	40209
1054	44841	40166
1055	44884	40123
1056	44929	40083
1057	44976	40045
1058	45020	40004
1059	45062	39961
1060	45105	39919
1061	45150	39878
1062	45193	39836
1063	45237	39795
1064	45279	39752
1065	45324	39712
1066	45364	39667
1067	45409	39626
1068	45453	39585
1069	45494	39541
1070	45538	39500
1071	45579	39457
1072	45624	39416
1073	45664	39371
1074	45706	39328
1075	45751	39288
1076	45791	39244
1077	45837	39204
1078	45879	39161
1079	45924	39121
1080	45966	39077
1081	46011	39037
1082	46054	38995
1083	46096	38952
1084	46143	38913
1085	46190	38875
1086	46233	38832
1087	46275	38789
1088	46321	38750
1089	46362	38706
1090	46408	38666
1091	46453	38625
1092	46497	38584
1093	46542	38544
1094	46586	38503
1095	46629	38461
1096	46672	38418
1097	46717	38377
1098	46728	38309
1099	46772	38268
1100	46779	38196
1101	46824	38156
1102	46865	38113
1103	46909	38071
1104	46954	38031
1105	46995	37987
1106	47043	37949
1107	47088	37909
1108	47137	37871
1109	47179	37828
1110	47228	37791
1111	47271	37749
1112	47316	37708
1113	47364	37670
1114	47408	37629
1115	47454	37589
1116	47496	37546
1117	47544	37508
1118	47587	37465
1119	47635	37427
1120	47678	37385
1121	47727	37348
1122	47771	37306
1123	47816	37266
1124	47862	37226
1125	47907	37185
1126	47954	37146
1127	48000	37107
1128	48046	37066
1129	48087	37023
1130	48136	36985
1131	48154	36924
1132	48198	36882
1133	48246	36844
1134	48288	36801
1135	48336	36763
1136	48378	36720
1137	48424	36680
1138	48470	36640
1139	48513	36598
1140	48555	36555
1141	48598	36512
1142	48642	36471
1143	48686	36429
1144	48731	36389
1145	48774	36347
1146	48814	36302
1147	48858	36260
1148	48900	36218
1149	48945	36177
1150	48988	36134
1151	49032	36093
1152	49076	36051
1153	49117	36007
1154	49162	35967
1155	49203	35923
1156	49250	35884
1157	49293	35842
1158	49337	35800
1159	49378	35757
1160	49421	35714
1161	49465	35673
1162	49509	35631
1163	49552	35589
1164	49595	35547
1165	49642	35507
1166	49682	35463
1167	49725	35421
1168	49770	35380
1169	49813	35337
1170	49860	35298
1171	49903	35255
1172	49949	35215
1173	49992	35173
1174	50037	35133
1175	50079	35089
1176	50120	35046
1177	50168	35007
1178	50212	34965
1179	50258	34925
1180	50300	34882
1181	50345	34841
1182	50387	34798
1183	50432	34757
1184	50477	34716
1185	50520	34673
1186	50565	34633
1187	50609	34591
1188	50652	34549
1189	50697	34508
1190	50744	34469
1191	50787	34426
1192	50833	34385
1193	50876	34343
